node,date,cumulative_bundles,cumulative_collections,target_bundles,target_collections
PDS_GEO,2025-04-23,210,1352,326,2536
PDS_GEO,2025-04-30,210,1354,326,2536
PDS_GEO,2025-05-06,211,1360,326,2536
PDS_GEO,2025-05-08,211,1362,326,2536
PDS_GEO,2025-05-13,211,1363,326,2536
PDS_GEO,2025-05-19,211,1364,326,2536
PDS_GEO,2025-05-29,211,1367,326,2536
PDS_GEO,2025-05-30,211,1371,326,2536
PDS_GEO,2025-06-09,212,1377,326,2536
PDS_GEO,2025-06-10,212,1381,326,2536
PDS_GEO,2025-06-12,214,1398,326,2536
PDS_GEO,2025-06-13,214,1403,326,2536
PDS_GEO,2025-06-17,214,1407,326,2536
PDS_GEO,2025-06-18,214,1409,326,2536
PDS_GEO,2025-06-25,214,1425,326,2536
PDS_GEO,2025-06-30,214,1428,326,2536
PDS_GEO,2025-07-08,216,1440,326,2536
PDS_GEO,2025-07-17,216,1443,326,2536
PDS_GEO,2025-07-29,217,1445,326,2536
PDS_GEO,2025-08-04,217,1466,326,2536
PDS_GEO,2025-08-05,220,1501,326,2536
PDS_GEO,2025-08-06,220,1502,326,2536
PDS_GEO,2025-08-13,221,1507,326,2536
PDS_GEO,2025-08-18,221,1508,326,2536
PDS_GEO,2025-08-22,221,1511,326,2536
PDS_GEO,2025-08-28,221,1514,326,2536
PDS_GEO,2025-08-29,221,1518,326,2536
PDS_GEO,2025-09-05,221,1521,326,2536
PDS_GEO,2025-09-08,222,1523,326,2536
PDS_GEO,2025-09-10,223,1528,326,2536
PDS_GEO,2025-09-15,224,1545,326,2536
PDS_GEO,2025-09-16,225,1553,326,2536
PDS_GEO,2025-09-23,225,1568,326,2536
PDS_GEO,2025-09-30,226,1570,326,2536
PDS_GEO,2025-10-07,237,1596,326,2536
PDS_GEO,2025-10-10,237,1597,326,2536
PDS_GEO,2025-10-14,238,1603,326,2536
PDS_GEO,2025-10-16,238,1606,326,2536
PDS_GEO,2025-10-20,238,1607,326,2536
PDS_GEO,2025-10-21,239,1611,326,2536
PDS_GEO,2025-10-22,239,1614,326,2536
PDS_GEO,2025-11-05,239,1616,326,2536
PDS_GEO,2025-11-12,240,1618,326,2536
PDS_GEO,2025-11-13,242,1626,326,2536
PDS_GEO,2025-11-14,249,1639,326,2536
PDS_GEO,2025-11-15,249,1651,326,2536
PDS_GEO,2025-11-16,253,1671,326,2536
PDS_GEO,2025-11-17,260,1698,326,2536
PDS_GEO,2025-11-18,264,1710,326,2536
PDS_GEO,2025-11-19,266,1718,326,2536
PDS_GEO,2025-11-20,269,1731,326,2536
PDS_GEO,2025-11-21,270,1739,326,2536
PDS_GEO,2025-11-22,270,1742,326,2536
PDS_GEO,2025-11-23,270,1743,326,2536
PDS_GEO,2025-12-03,270,1750,326,2536
PDS_GEO,2025-12-04,271,1815,326,2536
PDS_GEO,2025-12-10,271,1816,326,2536
PDS_GEO,2025-12-15,273,1839,326,2536
PDS_GEO,2025-12-18,273,1845,326,2536
PDS_GEO,2026-01-06,273,1851,326,2536
PDS_GEO,2026-01-08,273,1854,326,2536
PDS_GEO,2026-01-12,275,1865,326,2536
PDS_GEO,2026-01-13,276,1868,326,2536
PDS_GEO,2026-01-14,276,1871,326,2536
PDS_GEO,2026-01-15,276,1874,326,2536
PDS_GEO,2026-01-20,277,1879,326,2536
PDS_GEO,2026-01-21,278,1885,326,2536
PDS_GEO,2026-01-27,278,1886,326,2536
PDS_GEO,2026-01-28,279,1895,326,2536
PDS_GEO,2026-02-10,279,1896,326,2536
PDS_GEO,2026-02-13,279,1898,326,2536
PDS_GEO,2026-02-25,279,1901,326,2536
PDS_GEO,2026-02-28,279,1905,326,2536
PDS_GEO,2026-03-04,279,1908,326,2536
PDS_GEO,2026-03-12,280,1926,326,2536
PDS_GEO,2026-03-13,280,1931,326,2536
PDS_GEO,2026-03-16,280,1964,326,2536
PDS_GEO,2026-03-30,284,1983,326,2536
PDS_GEO,2026-03-31,284,1993,326,2536
PDS_GEO,2026-04-01,284,1999,326,2536
PDS_GEO,2026-04-06,286,2025,326,2536
PDS_GEO,2026-04-07,286,2027,326,2536
PDS_GEO,2026-04-08,286,2033,326,2536
PDS_GEO,2026-04-13,286,2036,326,2536
PDS_GEO,2026-04-22,286,2039,326,2536
PDS_GEO,2026-05-20,287,2044,326,2536
PDS_GEO,2026-05-29,287,2051,326,2536
PDS_GEO,2026-06-02,288,2051,326,2536
PDS_GEO,2026-06-12,289,2066,326,2536
PDS_GEO,2026-06-13,289,2070,326,2536
PDS_GEO,2026-06-14,289,2072,326,2536
PDS_GEO,2026-06-15,289,2074,326,2536
PDS_GEO,2026-06-26,290,2077,326,2536
PDS_GEO,2026-06-30,291,2081,326,2536
PDS_GEO,2026-07-01,291,2082,326,2536
PDS_GEO,2026-07-04,291,2099,326,2536
PDS_GEO,2026-07-06,298,2127,326,2536
PDS_GEO,2026-07-07,299,2131,326,2536
